School,UG/PG,Level,Unit Code,Sched unit ID,Moodle Unit Name,Block,Day,Time,Group,Unit Name,"Unit Name - Group Group, Block","Unit Name - Group Group, Block UG/PG Campus",Moodle Group Name,"MOODLE UPDATED? 
BUS,UG,3,BBMG3007,15863,2026SS-BBMG3007,SS,Mon,1:00PM -  2:00PM,1,International Marketing Management,"International Marketing Management - Group 1, SS","International Marketing Management - Group 1, SS UG SYD",Group 1: Mon 1:00PM -  2:00PM SYD,,4,Ms Souraya Meraachly,Ms Souraya Meraachly,Ms Souraya Meraachly,Online,Online 1,Open,SYD,NO,Updated to self-directed for 3 students - 15.01.2026,,,
ISY,PG,5,MBIS5023,15864,2026SS-MBIS5023,SS,Tue/Thu,1:00PM -  5:00PM,1,Machine Learning for Data AnalyticsÊ,"Machine Learning for Data AnalyticsÊ - Group 1, SS","Machine Learning for Data AnalyticsÊ - Group 1, SS PG SYD",Group 1: Tue/Thu 1:00PM -  5:00PM SYD,,8,Dr Guohua Liang,Dr Adil Bilal,Dr Guohua Liang,Class,"Level 3, Classroom 5",Closed,SYD,NO,Updated to Hybrid class - 26.11.2025,No students enrolled - class closed 16.01.2026,,
ISY,PG,5,MBIS5023,15865,2026SS-MBIS5023,SS,Tue/Thu,1:00PM -  5:00PM,1,Machine Learning for Data AnalyticsÊ,"Machine Learning for Data AnalyticsÊ - Group 1, SS","Machine Learning for Data AnalyticsÊ - Group 1, SS PG MEL",Group 1: Tue/Thu 1:00PM -  5:00PM MEL,,8,Dr Adil Bilal,Dr Adil Bilal,Dr Adil Bilal,Class,Room 6-7,Closed,MEL,NO,Updated to Hybrid class - 26.11.2025,No students enrolled - class closed 16.01.2026,,
BUS,PG,5,MPM5002,16558,2026SS-MPM5002,SS,Thu,10:00AM -  11:00AM,1,Project Finance Management,"Project Finance Management - Group 1, SS","Project Finance Management - Group 1, SS PG SYD",Group 1: Thu 10:00AM -  11:00AM SYD,,4,Mr Son Nguyen,Mr Son Nguyen,Mr Son Nguyen,Online ,Online 1,Open,SYD,NO,Self-directed for 2 students - 16.01.2026,,,
BUS,PG,5,MPM5004,15866,2026SS-MPM5004,SS,Tue,9:00AM -  10:00PM,1,Major Corporate Study Project Execution,"Major Corporate Study Project Execution - Group 1, SS","Major Corporate Study Project Execution - Group 1, SS PG SYD/MEL",Group 1: Tue 9:00AM -  10:00PM SYD/MEL,,4,Dr Carolyn Tran,Dr Carolyn Tran,Dr Carolyn Tran,Online ,Online 1,Open,SYD/MEL,NO,Updated to self-directed for 234137 - 15.01.2026,,,
BUS,PG,5,MPM5004,15867,2026SS-MPM5004,SS,Tue/Thu,8:30AM -  12:30PM,1,Major Corporate Study Project Execution,"Major Corporate Study Project Execution - Group 1, SS","Major Corporate Study Project Execution - Group 1, SS PG MEL",Group 1: Tue/Thu 8:30AM -  12:30PM MEL,,8,,,,Class,Online 1,Closed,MEL,YES,,,,
BUS,PG,5,MPM5007,16430,2026SS-MPM5007,SS,Tue,09:00AM - 10:00AM,1,Errors and Pitfalls in Project Management,"Errors and Pitfalls in Project Management - Group 1, SS","Errors and Pitfalls in Project Management - Group 1, SS PG SYD/MEL",Group 1: Tue 09:00AM - 10:00AM SYD/MEL,,4,Mr Rodrigo Oliveira De Castro,Mr Rodrigo Oliveira De Castro,Mr Rodrigo Oliveira De Castro,Online ,Online 1,Open,SYD/MEL,NO,Self-directed for 232587 - 12.12.2025,,,
BUS,PG,5,MPM5008,16429,2026SS-MPM5008,SS,Mon,09:00AM - 10:00AM,1,Major Project - Capstone,"Major Project - Capstone - Group 1, SS","Major Project - Capstone - Group 1, SS PG SYD/MEL",Group 1: Mon 09:00AM - 10:00AM SYD/MEL,,4,Dr Carolyn Tran,Dr Carolyn Tran,Dr Carolyn Tran,Online ,Online 1,Open,SYD/MEL,NO,Self-directed for 234563 - 12.12.2025,,,
ISY,UG,2,BISY2006,15868,2026SS-BISY2006,SS,Mon/Wed,8:30AM -  12:30PM,1,Management Information Systems and Enterprise Systems,"Management Information Systems and Enterprise Systems - Group 1, SS","Management Information Systems and Enterprise Systems - Group 1, SS UG SYD",Group 1: Mon/Wed 8:30AM -  12:30PM SYD,,8,Ms Mohsina Kawser,Ms Mohsina Kawser,Ms Mohsina Kawser,Class,"Level 4, Classroom 7",Open,SYD,NO,,,,
ISY,UG,2,BISY2006,15869,2026SS-BISY2006,SS,Mon/Wed,8:30AM -  12:30PM,1,Management Information Systems and Enterprise Systems,"Management Information Systems and Enterprise Systems - Group 1, SS","Management Information Systems and Enterprise Systems - Group 1, SS UG MEL",Group 1: Mon/Wed 8:30AM -  12:30PM MEL,,8,,,,Class,Room 5,Closed,MEL,NO,,,,
ISY,UG,2,BISY2003,15870,2026SS-BISY2003,SS,Mon/Wed,5:00PM - 9:00PM,1,Object Oriented Programming,"Object Oriented Programming - Group 1, SS","Object Oriented Programming - Group 1, SS UG SYD",Group 1: Mon/Wed 5:00PM - 9:00PM SYD,,8,,,,Class,"Level 3, Classroom 6",Closed,SYD,NO,,,,
BUS,PG,4,MPM4002,16555,2026SS-MPM4002,SS,Tue,10:00AM -  11:00AM,1,Project Management Domains (Tools and Techniques),"Project Management Domains (Tools and Techniques) - Group 1, SS","Project Management Domains (Tools and Techniques) - Group 1, SS PG SYD/MEL",Group 1: Tue 10:00AM -  11:00AM SYD/MEL,,4,Mr Son Nguyen,Mr Son Nguyen,Mr Son Nguyen,Online ,Online 1,Open,SYD/MEL,NO,Self-directed for 239584 - 13.01.2026,,,
BUS,PG,4,MPM4006,15871,2026SS-MPM4006,SS,Tue/Thu,1:00PM -  5:00PM,1,Organisation Change Management,"Organisation Change Management - Group 1, SS","Organisation Change Management - Group 1, SS PG SYD",Group 1: Tue/Thu 1:00PM -  5:00PM SYD,,8,,,,Class,"Level 4, Classroom 11",Closed,SYD,YES,,,,
BUS,PG,4,MPM4006,15872,2026SS-MPM4006,SS,Tue/Thu,8:30AM -  12:30PM,1,Organisation Change Management,"Organisation Change Management - Group 1, SS","Organisation Change Management - Group 1, SS PG MEL",Group 1: Tue/Thu 8:30AM -  12:30PM MEL,,8,,,,Class,Room 4,Closed,MEL,YES,,,,
ISY,PG,5,MBIS5006,15873,2026SS-MBIS5006,SS,Tue/Thu,1:00PM -  5:00PM,1,Organisational Cyber security,"Organisational Cyber security - Group 1, SS","Organisational Cyber security - Group 1, SS PG SYD/MEL",Group 1: Tue/Thu 1:00PM -  5:00PM SYD/MEL,,8,Dr Mohammad Ezazul Islam,Dr Mohammad Ezazul Islam,Dr Mohammad Ezazul Islam,Online,Online 1,Open,SYD/MEL,NO,Class combined - 15.01.2026,,,
ISY,PG,5,MBIS5006,15874,2026SS-MBIS5006,SS,Tue/Thu,5:00PM -  9:00PM,1,Organisational Cyber security,"Organisational Cyber security - Group 1, SS","Organisational Cyber security - Group 1, SS PG SYD",Group 1: Tue/Thu 5:00PM -  9:00PM SYD,,8,Dr Manzoor Ahmed Hashmani,Dr Mohammad Ezazul Islam,Dr Manzoor Ahmed Hashmani,Class,"Level 3, Computer Lab 3",Closed,SYD,NO,Class merged and closed - 15.01.2026,,,
BUS,PG,4,MBA4004,15875,2026SS-MBA4004,SS,Tue/Thu,1:00PM -  5:00PM,1,"People, Culture and Agile Leadership","People, Culture and Agile Leadership - Group 1, SS","People, Culture and Agile Leadership - Group 1, SS PG MEL",Group 1: Tue/Thu 1:00PM -  5:00PM MEL,,8,Ms Valerie Caine,Ms Valerie Caine,Ms Valerie Caine,Class,Online 1,Closed,MEL,YES,Class closed - 15.01.2026,,,
BUS,PG,4,MBA4004,15876,2026SS-MBA4004,SS,Tue/Thu,1:00PM -  5:00PM,1,"People, Culture and Agile Leadership","People, Culture and Agile Leadership - Group 1, SS","People, Culture and Agile Leadership - Group 1, SS PG SYD",Group 1: Tue/Thu 1:00PM -  5:00PM SYD,,8,Mr Son Nguyen,Ms Valerie Caine,Mr Son Nguyen,Class,"Level 3, Classroom 2",Open,SYD,YES,,,,
ISY,UG,1,BISY1001,15877,2026SS-BISY1001,SS,Mon/Wed,1:00PM -  5:00PM,1,Professional and Ethical Practice,"Professional and Ethical Practice - Group 1, SS","Professional and Ethical Practice - Group 1, SS UG SYD",Group 1: Mon/Wed 1:00PM -  5:00PM SYD,,8,Ms Najnin Nirjhar,Ms Najnin Nirjhar,Ms Najnin Nirjhar,Online ,Online 1,Closed,SYD,NO,Class merged and closed - 15.01.2026,,,
ISY,UG,1,BISY1001,15878,2026SS-BISY1001,SS,Mon/Wed,5:00PM - 9:00PM,1,Professional and Ethical Practice,"Professional and Ethical Practice - Group 1, SS","Professional and Ethical Practice - Group 1, SS UG SYD/MEL",Group 1: Mon/Wed 5:00PM - 9:00PM SYD/MEL,,8,Ms Najnin Nirjhar,Ms Najnin Nirjhar,Ms Najnin Nirjhar,Online ,Online 1,Open,SYD/MEL,NO,Class combined - 15.01.2026,,,
ISY,PG,4,MBIS4009,15879,2026SS-MBIS4009,SS,Tue/Thu,8:30AM - 12:30PM,1,Professional Practice in Information Systems,"Professional Practice in Information Systems - Group 1, SS","Professional Practice in Information Systems - Group 1, SS PG MEL",Group 1: Tue/Thu 8:30AM - 12:30PM MEL,,8,Dr Muhammad Asif Tanveer,Dr Muhammad Asif Tanveer,Dr Muhammad Asif Tanveer,Class,Room 1-2,Open,MEL,NO,,,,
ISY,PG,4,MBIS4009,15880,2026SS-MBIS4009,SS,Tue/Thu,5:00PM -  9:00PM,1,Professional Practice in Information Systems,"Professional Practice in Information Systems - Group 1, SS","Professional Practice in Information Systems - Group 1, SS PG SYD",Group 1: Tue/Thu 5:00PM -  9:00PM SYD,,8,Dr Chukwuma Ukoha,Dr Muhammad Asif Tanveer,Dr Chukwuma Ukoha,Class,"Level 4, Classroom 7",Open,SYD,NO,,,,
ISY,PG,5,MBIS5003,15881,2026SS-MBIS5003,SS,Tue/Thu,8:30AM -  12:30PM,1,Project Management for Data Analytics Solutions,"Project Management for Data Analytics Solutions - Group 1, SS","Project Management for Data Analytics Solutions - Group 1, SS PG SYD",Group 1: Tue/Thu 8:30AM -  12:30PM SYD,,8,Dr Sheeraz Memon,Dr Sheeraz Memon,Dr Sheeraz Memon,Class,"Level 3, Computer Lab 3",Closed,SYD,NO,Class closed - 14.01.2026,,,
ISY,PG,5,MBIS5003,16161,2026SS-MBIS5003,SS,Tue/Thu,5:00PM - 9:00PM,1,Project Management for Data Analytics Solutions,"Project Management for Data Analytics Solutions - Group 1, SS","Project Management for Data Analytics Solutions - Group 1, SS PG SYD/MEL",Group 1: Tue/Thu 5:00PM - 9:00PM SYD/MEL,,8,Dr Sheeraz Memon,Dr Sheeraz Memon,Dr Sheeraz Memon,Online,Online 1,Open,SYD/MEL,NO,Class combined - 14.01.2026,,,
BUS,UG,2,BBHT2001,15893,2026SS-BBHT2001,SS,Mon/Wed,8:30AM -  12:30PM,1,Quality Service Management,"Quality Service Management - Group 1, SS","Quality Service Management - Group 1, SS UG MEL",Group 1: Mon/Wed 8:30AM -  12:30PM MEL,,8,Dr Judith Watson,Dr Inora Abdurakhmanova,Dr Judith Watson,Class,Room 1-2,Closed,MEL,YES,Class combined and closed - 15.01.2026,,,
BUS,UG,2,BBHT2001,15894,2026SS-BBHT2001,SS,Mon/Wed,8:30AM -  12:30PM,1,Quality Service Management,"Quality Service Management - Group 1, SS","Quality Service Management - Group 1, SS UG SYD",Group 1: Mon/Wed 8:30AM -  12:30PM SYD,,8,Dr Inora Abdurakhmanova,Dr Inora Abdurakhmanova,Dr Inora Abdurakhmanova,Class,"Level 4, Classroom 11",Open,SYD,YES,,,,
ISY,PG,4,MBIS4003,15882,2026SS-MBIS4003,SS,Tue,3:00PM -  5:00PM,1,Software Development,"Software Development - Group 1, SS","Software Development - Group 1, SS PG SYD/MEL",Group 1: Tue 3:00PM -  5:00PM SYD/MEL,,4,OSP,Mr Johan Sebastian Vallejo,OSP,Online ,Online 1,Open,SYD/MEL,OSP,,,,
ISY,PG,4,MBIS4003,15882,2026SS-MBIS4003,SS,Tue,3:00PM -  5:00PM,2,Software Development,"Software Development - Group 2, SS","Software Development - Group 2, SS PG SYD/MEL",Group 2: Tue 3:00PM -  5:00PM SYD/MEL,,4,OSP,Mr Johan Sebastian Vallejo,,Online ,Online 1,Closed,SYD/MEL,OSP,Will open once G1 is full - 16.12.2025,,,
ISY,PG,4,MBIS4003,15882,2026SS-MBIS4003,SS,Tue,3:00PM -  5:00PM,3,Software Development,"Software Development - Group 3, SS","Software Development - Group 3, SS PG SYD/MEL",Group 3: Tue 3:00PM -  5:00PM SYD/MEL,,4,,,,Online ,Online 1,Closed,SYD/MEL,OSP,,,,
ACC,UG,1,BBUS1008,15883,2026SS-BBUS1008,SS,Mon/Wed,5:00PM - 9:00PM,1,Statistics for Professionals,"Statistics for Professionals - Group 1, SS","Statistics for Professionals - Group 1, SS UG MEL",Group 1: Mon/Wed 5:00PM - 9:00PM MEL,,8,Dr Mai- Anh Pham ,Dr Mai- Anh Pham ,Dr Mai- Anh Pham ,Class,Room 3,Closed,MEL,NO,Class closed - 15.01.2026,,,
ACC,UG,1,BBUS1008,15884,2026SS-BBUS1008,SS,Mon/Wed,8:30AM -  12:30PM,1,Statistics for Professionals,"Statistics for Professionals - Group 1, SS","Statistics for Professionals - Group 1, SS UG SYD",Group 1: Mon/Wed 8:30AM -  12:30PM SYD,,8,Ms Deshika Nainanayake,Dr Mai- Anh Pham ,Ms Deshika Nainanayake,Class,"Level 3, Classroom 6",Closed,SYD,NO,Class closed - 15.01.2026,,,
ISY,PG,5,MBIS5012,15885,2026SS-MBIS5012,SS,Tue/Thu,8:30AM -  12:30PM,1,Strategic Information Systems,"Strategic Information Systems - Group 1, SS","Strategic Information Systems - Group 1, SS PG MEL",Group 1: Tue/Thu 8:30AM -  12:30PM MEL,,8,Dr Al Mamun,Dr Muhammad Asif Tanveer,Dr Al Mamun,Class,Room 3,Open,MEL,NO,,,,
ISY,PG,5,MBIS5012,15886,2026SS-MBIS5012,SS,Tue/Thu,5:00PM -  9:00PM,1,Strategic Information Systems,"Strategic Information Systems - Group 1, SS","Strategic Information Systems - Group 1, SS PG SYD",Group 1: Tue/Thu 5:00PM -  9:00PM SYD,,8,Dr Andrew Levula,Dr Muhammad Asif Tanveer,Dr Andrew Levula,Class,"Level 3, Classroom 6",Open,SYD,NO,,,,
BUS,PG,5,MBA5001,15887,2026SS-MBA5001,SS,Tue/Thu,1:00PM -  5:00PM,1,Strategic Management,"Strategic Management - Group 1, SS","Strategic Management - Group 1, SS PG MEL",Group 1: Tue/Thu 1:00PM -  5:00PM MEL,,8,Mr Rizwan Sharif,Mr Rizwan Sharif,Mr Rizwan Sharif,Class,Room 4,Open,MEL,YES,,,,
BUS,PG,5,MBA5001,15888,2026SS-MBA5001,SS,Tue/Thu,1:00PM -  5:00PM,1,Strategic Management,"Strategic Management - Group 1, SS","Strategic Management - Group 1, SS PG SYD",Group 1: Tue/Thu 1:00PM -  5:00PM SYD,,8,Mr Rizwan Sharif,Mr Rizwan Sharif,Dr Harpreet Kaur,Class,"Level 3, Classroom 5",Closed,SYD,YES,Class merged with MEL campus and closed. 13.01.2026,,,
BUS,PG,5,MBA5003,15889,2026SS-MBA5003,SS,Tue,12:00PM - 1:00PM,1,Strategic Marketing Management,"Strategic Marketing Management - Group 1, SS","Strategic Marketing Management - Group 1, SS PG SYD",Group 1: Tue 12:00PM - 1:00PM SYD,,4,Ms Eva Sapo,Ms Eva Sapo,Ms Eva Sapo,Online ,Online 1,Open,SYD,NO,Self-directed for 233118. Unit is no longer part of the course plan - 26.11.2025,,,
BUS,PG,5,MBA5007,16292,2026SS-MBA5007,SS,Tue,10:00AM - 11:00AM,1,Real World Business Analytics,"Real World Business Analytics - Group 1, SS","Real World Business Analytics - Group 1, SS PG SYD",Group 1: Tue 10:00AM - 11:00AM SYD,,4,Dr Akram Al-Sukker,Dr Akram Al-Sukker,Dr Akram Al-Sukker,Class,"Level 3, Computer Lab 4",Open,SYD,NO,Self-directed for 6 students - 16.01.2026,,,
ISY,UG,2,BISY2007,15895,2026SS-BISY2007,SS,Mon,3:00PM - 5:00PM,1,Systems Design Thinking,"Systems Design Thinking - Group 1, SS","Systems Design Thinking - Group 1, SS UG SYD/MEL",Group 1: Mon 3:00PM - 5:00PM SYD/MEL,,4,OSP,Dr Manzoor Ahmed Hashmani,OSP,Online ,Online 1,Open,SYD/MEL,OSP,,,,
ISY,UG,2,BISY2007,15895,2026SS-BISY2007,SS,Mon,3:00PM - 5:00PM,2,Systems Design Thinking,"Systems Design Thinking - Group 2, SS","Systems Design Thinking - Group 2, SS UG SYD/MEL",Group 2: Mon 3:00PM - 5:00PM SYD/MEL,,4,OSP,Dr Manzoor Ahmed Hashmani,,Online ,Online 1,Closed,SYD/MEL,OSP,Will open once G1 is full - 16.12.2025,,,
BUS,PG,4,MBA4002,15948,2026B1-MBA4002,B1,Tue/Thu,1:00PM - 5:00PM,1,Communication and Negotiations,"Communication and Negotiations - Group 1, B1","Communication and Negotiations - Group 1, B1 PG SYD",Group 1: Tue/Thu 1:00PM - 5:00PM SYD,,8,,,,Class,"Level 4, Computer Lab 8",Open,SYD,YES,,,,
